Time elapsed for Query 5 with 2 workers: 12.192766904830933
|month|day_of_month|avg_tip_percentage|
|---|---|---|
|1|9|45.78674775487207|
|1|31|43.93563580770273|
|1|1|29.07803686136836|
|1|29|24.059518454370057|
|1|16|23.377299918220096|
|2|21|25.981657452766274|
|2|13|24.572068389402546|
|2|9|23.904535643412483|
|2|10|23.33961589934868|
|2|27|23.3006799515465|
|3|18|29.671341612659685|
|3|21|27.57992602492248|
|3|26|22.70884595372165|
|3|5|22.55546137249565|
|3|12|22.100859110808635|
|4|12|48.36884410450339|
|4|2|31.175092883998968|
|4|21|30.44861250236277|
|4|3|24.46372770475391|
|4|30|21.99676965994668|
|5|12|32.402658973198044|
|5|20|26.034036090366385|
|5|16|23.659110789279985|
|5|15|22.05244524700949|
|5|6|21.832006161884486|
|6|13|38.45136993724611|
|6|25|32.91307329265353|
|6|10|27.397637812780694|
|6|16|25.534975757875227|
|6|20|24.242914593519107|
